Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,N/A,N/A,N/A,N/A
17000,N/A,N/A,N/A,N/A
18000,N/A,N/A,N/A,N/A
19000,N/A,N/A,N/A,N/A
20000,N/A,N/A,N/A,N/A
21000,N/A,N/A,N/A,N/A
22000,N/A,N/A,N/A,N/A
23000,N/A,N/A,N/A,N/A
24000,N/A,N/A,N/A,N/A
25000,N/A,N/A,N/A,N/A
30000,N/A,N/A,N/A,N/A
35000,N/A,N/A,N/A,N/A
40000,N/A,N/A,N/A,N/A
45000,N/A,N/A,N/A,N/A
50000,3,3,46416.0,3
60000,4,2,54064.0,4
70000,4,2,55248.0,4
80000,4,2,58912.0,4
90000,4,2,61760.0,4
100000,4,2,56976.0,4
200000,4,2,52368.0,4
300000,4,2,52416.0,4
400000,4,2,52176.0,4
500000,4,2,49456.0,4
600000,4,2,49392.0,4
700000,4,2,53808.0,4
800000,4,2,52512.0,4
900000,4,2,51056.0,4
1000000,4,2,52416.0,4
