K,Time (s),Memory (KB),Passes
50,0.53,5236.0,3.0
60,0.54,5156.0,3.0
70,0.53,5156.0,3.0
80,0.53,6180.0,3.0
90,0.53,6256.0,3.0
100,0.53,7224.0,3.0
150,0.52,8288.0,3.0
200,0.54,9252.0,3.0
250,0.54,10320.0,3.0
300,0.52,11984.0,3.0
350,0.52,12336.0,3.0
400,0.53,13584.0,3.0
450,0.53,14712.0,3.0
500,0.52,15484.0,3.0
550,0.51,15412.0,3.0
600,0.5,16420.0,3.0
650,0.52,17440.0,3.0
700,0.52,17468.0,3.0
750,0.51,18392.0,3.0
800,0.53,18836.0,3.0
850,0.5,19016.0,3.0
900,0.51,19504.0,3.0
950,0.51,18504.0,3.0
1000,0.39,18468.0,2.0
