K,Time (s),Memory (KB),Passes
50,0.31,8228.0,1.38
60,0.29,10276.0,1.32
70,0.3,10276.0,1.3
80,0.3,10356.0,1.3
90,0.3,11300.0,1.29
100,0.3,12340.0,1.28
150,0.32,18480.0,1.28
200,0.33,22464.0,1.28
250,0.35,26748.0,1.28
300,0.36,31812.0,1.28
350,0.37,36620.0,1.28
400,0.39,40996.0,1.28
450,0.39,46240.0,1.26
500,0.12,19024.0,1.0
550,0.12,18824.0,1.0
600,0.12,18848.0,1.0
650,0.12,19296.0,1.0
700,0.12,19208.0,1.0
750,0.12,19360.0,1.0
800,0.12,19084.0,1.0
850,0.12,19008.0,1.0
900,0.12,19268.0,1.0
950,0.12,18996.0,1.0
1000,0.13,19472.0,1.0
