K,Time (s),Memory (KB),Passes
1,0.03,3072.0,2.0
2,0.03,3072.0,1.99
3,0.02,3072.0,1.46
4,0.02,4096.0,1.11
5,0.02,4096.0,1.03
6,0.02,4096.0,1.01
7,0.02,4096.0,1.0
8,0.02,4096.0,1.0
9,0.02,4096.0,1.0
10,0.02,4096.0,1.0
11,0.02,4096.0,1.0
12,0.02,4096.0,1.0
13,0.02,4096.0,1.0
14,0.02,4096.0,1.0
15,0.02,4096.0,1.0
16,0.02,4096.0,1.0
17,0.02,4096.0,1.0
18,0.02,4096.0,1.0
19,0.02,4096.0,1.0
20,0.02,4096.0,1.0
21,0.02,4096.0,1.0
22,0.02,4096.0,1.0
23,0.02,4096.0,1.0
24,0.02,4096.0,1.0
25,0.02,4096.0,1.0
26,0.02,4096.0,1.0
27,0.02,4096.0,1.0
28,0.02,4096.0,1.0
29,0.02,4096.0,1.0
30,0.02,4096.0,1.0
31,0.02,4096.0,1.0
32,0.01,10240.0,1.0
33,0.01,10240.0,1.0
34,0.01,10240.0,1.0
35,0.01,10240.0,1.0
36,0.01,10240.0,1.0
37,0.01,10240.0,1.0
38,0.01,10240.0,1.0
39,0.01,10240.0,1.0
40,0.01,10240.0,1.0
45,0.01,10240.0,1.0
50,0.01,10240.0,1.0
55,0.01,10240.0,1.0
60,0.01,10240.0,1.0
65,0.01,10240.0,1.0
70,0.01,10240.0,1.0
75,0.01,10240.0,1.0
80,0.01,10240.0,1.0
85,0.01,10240.0,1.0
90,0.01,10240.0,1.0
95,0.01,10240.0,1.0
100,0.01,10240.0,1.0
150,0.01,10240.0,1.0
200,0.01,10240.0,1.0
250,0.01,10240.0,1.0
300,0.01,10240.0,1.0
350,0.01,10240.0,1.0
400,0.01,10240.0,1.0
450,0.01,10240.0,1.0
500,0.01,10240.0,1.0
550,0.01,10240.0,1.0
600,0.01,10240.0,1.0
650,0.01,10240.0,1.0
700,0.01,10240.0,1.0
750,0.01,10240.0,1.0
800,0.01,10240.0,1.0
850,0.01,10240.0,1.0
900,0.01,10240.0,1.0
950,0.01,10240.0,1.0
1000,0.01,10240.0,1.0
