M,Time (s),Memory (KB),Passes
100,0.0,3156.0,2.0
200,0.0,3112.0,3.0
300,0.0,4180.0,3.0
400,0.0,4144.0,3.4
500,0.0,4188.0,3.4
600,0.0,4156.0,3.3
700,0.0,4180.0,3.2
800,0.0,4176.0,3.1
900,0.0,4156.0,3.1
1000,0.0,4152.0,3.0
2000,0.0,3132.0,3.3
3000,0.01,4180.0,3.1
4000,0.01,4188.0,3.2
5000,0.01,4152.0,3.2
6000,0.01,4132.0,3.1
7000,0.01,3164.0,3.1
8000,0.01,4152.0,3.2
9000,0.01,3184.0,3.2
10000,0.01,3148.0,3.2
11000,0.01,4156.0,3.1
12000,0.01,4144.0,3.1
13000,0.01,3188.0,3.2
14000,0.02,4132.0,3.2
15000,0.02,4152.0,3.2
16000,0.02,4136.0,3.2
17000,0.02,3140.0,3.0
18000,0.02,4148.0,3.0
19000,0.02,4156.0,3.1
20000,0.02,4136.0,3.0
30000,0.03,4156.0,3.2
40000,0.04,3148.0,3.3
50000,0.06,3144.0,3.6
60000,0.07,3192.0,3.5
70000,0.08,3136.0,3.5
80000,0.09,3172.0,3.2
90000,0.1,4152.0,3.2
100000,0.12,4152.0,3.4
200000,0.22,4180.0,3.2
300000,0.35,4172.0,3.2
400000,0.45,3188.0,3.0
