Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,N/A,N/A,N/A,N/A
17000,N/A,N/A,N/A,N/A
18000,N/A,N/A,N/A,N/A
19000,N/A,N/A,N/A,N/A
20000,N/A,N/A,N/A,N/A
21000,1,5,20640.0,4
22000,1,5,20688.0,4
23000,1,5,20624.0,4
24000,1,5,20720.0,4
25000,1,5,20672.0,4
30000,1,5,20624.0,4
35000,1,5,20656.0,4
40000,1,5,20736.0,4
45000,1,5,20736.0,4
50000,1,5,20672.0,4
60000,1,5,20560.0,4
70000,1,5,20656.0,4
80000,1,5,19936.0,4
90000,1,5,20608.0,4
100000,1,5,20768.0,4
200000,1,5,20608.0,4
300000,1,5,20752.0,4
400000,1,5,20752.0,4
500000,1,5,20672.0,4
600000,1,5,20656.0,4
700000,1,5,20544.0,4
800000,1,5,20544.0,4
900000,1,5,20704.0,4
1000000,1,5,20800.0,4
