K,Time (s),Memory (KB),Passes
50,0.01,68676.0,1.0
60,0.01,67620.0,1.0
70,0.01,69704.0,1.0
80,0.01,68644.0,1.0
90,0.01,69688.0,1.0
100,0.01,68664.0,1.0
150,0.01,69684.0,1.0
200,0.01,67648.0,1.0
250,0.01,68704.0,1.0
300,0.01,69708.0,1.0
350,0.01,68688.0,1.0
400,0.01,69724.0,1.0
450,0.01,69688.0,1.0
500,0.01,69708.0,1.0
550,0.01,68684.0,1.0
600,0.01,69672.0,1.0
650,0.01,69692.0,1.0
700,0.01,69696.0,1.0
750,0.01,69692.0,1.0
800,0.01,68644.0,1.0
850,0.01,68728.0,1.0
900,0.01,68700.0,1.0
950,0.01,69708.0,1.0
1000,0.01,67620.0,1.0
