N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3168.0,3.0,10.0
20,0.0,4164.0,3.0,19.0
30,0.0,4192.0,3.0,29.0
40,0.0,3128.0,3.0,37.0
50,0.0,4144.0,3.0,44.0
60,0.0,4152.0,3.0,57.0
70,0.0,4176.0,4.0,67.0
80,0.0,3192.0,3.0,76.0
90,0.0,4184.0,3.0,84.0
100,0.0,3136.0,3.0,94.0
200,0.0,3192.0,3.0,191.0
300,0.01,4132.0,3.0,288.0
400,0.01,3132.0,3.0,384.0
500,0.02,4192.0,3.0,478.0
600,0.03,3216.0,4.0,576.0
700,0.04,4140.0,4.0,683.0
800,0.04,4184.0,3.0,770.0
900,0.05,3160.0,3.0,880.0
1000,0.07,4144.0,4.0,964.0
1200,0.09,4132.0,4.0,1163.0
1400,0.1,3136.0,3.0,1360.0
1600,0.15,4152.0,4.0,1561.0
1800,0.18,4156.0,4.0,1755.0
2000,0.21,5168.0,4.0,1956.0
2500,0.24,5168.0,3.0,2454.0
3000,0.4,4176.0,4.0,2943.0
3500,0.49,4192.0,4.0,3445.0
4000,0.61,5192.0,4.0,3923.0
4500,0.73,5168.0,4.0,4442.0
5000,0.89,6180.0,4.0,4926.0
6000,1.18,6232.0,4.0,5925.0
7000,1.48,7224.0,4.0,6909.0
8000,1.5,6268.0,3.0,7913.0
9000,2.16,8228.0,4.0,8915.0
10000,2.57,7292.0,4.0,9915.0
