Running experiments with 100 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=10, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,3072
Running kpath variant N with N=10, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running klev variant 0 with N=10, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,3072
Running klev variant N with N=10, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running kpath variant 0 with N=20, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.01,3072
Running kpath variant N with N=20, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running klev variant 0 with N=20, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.01,3072
Running klev variant N with N=20, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running kpath variant 0 with N=30, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.02,3072
Running kpath variant N with N=30, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running klev variant 0 with N=30, sparsity=3, seed=1729...
      Average Passes: 3.02, Time/Memory: 0.02,3072
Running klev variant N with N=30, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running kpath variant 0 with N=40, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.03,3072
Running kpath variant N with N=40, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running klev variant 0 with N=40, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.04,3072
Running klev variant N with N=40, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running kpath variant 0 with N=50, sparsity=3, seed=1729...
      Average Passes: 2.13, Time/Memory: 0.04,3072
Running kpath variant N with N=50, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running klev variant 0 with N=50, sparsity=3, seed=1729...
      Average Passes: 3.03, Time/Memory: 0.05,3072
Running klev variant N with N=50, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running kpath variant 0 with N=60, sparsity=3, seed=1729...
      Average Passes: 2.5, Time/Memory: 0.05,3072
Running kpath variant N with N=60, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running klev variant 0 with N=60, sparsity=3, seed=1729...
      Average Passes: 3.04, Time/Memory: 0.06,3072
Running klev variant N with N=60, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running kpath variant 0 with N=70, sparsity=3, seed=1729...
      Average Passes: 2.9, Time/Memory: 0.07,3072
Running kpath variant N with N=70, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,3072
Running klev variant 0 with N=70, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.08,3072
Running klev variant N with N=70, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running kpath variant 0 with N=80, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.08,3072
Running kpath variant N with N=80, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running klev variant 0 with N=80, sparsity=3, seed=1729...
      Average Passes: 3.01, Time/Memory: 0.08,3072
Running klev variant N with N=80, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running kpath variant 0 with N=90, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.10,3072
Running kpath variant N with N=90, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.04,3072
Running klev variant 0 with N=90, sparsity=3, seed=1729...
      Average Passes: 3.02, Time/Memory: 0.10,3072
Running klev variant N with N=90, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,3072
Running kpath variant 0 with N=100, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.12,3072
Running kpath variant N with N=100, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.04,3072
Running klev variant 0 with N=100, sparsity=3, seed=1729...
      Average Passes: 3.02, Time/Memory: 0.13,3072
Running klev variant N with N=100, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,3072
Running kpath variant 0 with N=200, sparsity=3, seed=1729...
      Average Passes: 3.13, Time/Memory: 0.31,3072
Running kpath variant N with N=200, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.24,3072
Running klev variant 0 with N=200, sparsity=3, seed=1729...
      Average Passes: 3.14, Time/Memory: 0.37,3072
Running klev variant N with N=200, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.31,3072
Running kpath variant 0 with N=300, sparsity=3, seed=1729...
      Average Passes: 3.52, Time/Memory: 0.64,3072
Running kpath variant N with N=300, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.43,3072
