Generating graphs for 28 (n,m) pairs with 10 iterations each
Total graphs to generate: 280
Using 30 parallel processes
Graph type: POWLAW
Sparsity: 2
✓ Generated graph n=10, m=33, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_7871178979383552919.txt (Time: 0.00s)
✓ Generated graph n=10, m=33, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=10, m=33, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_5739955973604961613.txt (Time: 0.00s)
✓ Generated graph n=10, m=33, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_3881801951614183357.txt (Time: 0.00s)
✓ Generated graph n=10, m=33, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_7599700178212337699.txt (Time: 0.00s)
✓ Generated graph n=10, m=33, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_7032710160631691991.txt (Time: 0.00s)
✓ Generated graph n=20, m=86, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_7871178979383552919.txt (Time: 0.00s)
✓ Generated graph n=20, m=86, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=10, m=33, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_1070244953599069350.txt (Time: 0.01s)
✓ Generated graph n=10, m=33, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_1353182403971399009.txt (Time: 0.01s)
✓ Generated graph n=10, m=33, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_6938562734920028532.txt (Time: 0.00s)
✓ Generated graph n=10, m=33, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_6522163754831416203.txt (Time: 0.01s)
✓ Generated graph n=20, m=86, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_1070244953599069350.txt (Time: 0.00s)
✓ Generated graph n=20, m=86, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_7599700178212337699.txt (Time: 0.01s)
✓ Generated graph n=20, m=86, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_3881801951614183357.txt (Time: 0.01s)
✓ Generated graph n=30, m=147, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_30_147_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=20, m=86, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_6522163754831416203.txt (Time: 0.01s)
✓ Generated graph n=20, m=86, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_7032710160631691991.txt (Time: 0.01s)
✓ Generated graph n=20, m=86, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_6938562734920028532.txt (Time: 0.01s)
✓ Generated graph n=20, m=86, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_5739955973604961613.txt (Time: 0.01s)
✓ Generated graph n=30, m=147, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_30_147_POWLAW_7032710160631691991.txt (Time: 0.00s)
✓ Generated graph n=20, m=86, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_1353182403971399009.txt (Time: 0.01s)
✓ Generated graph n=30, m=147, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_30_147_POWLAW_7599700178212337699.txt (Time: 0.00s)
✓ Generated graph n=30, m=147, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_30_147_POWLAW_5739955973604961613.txt (Time: 0.01s)
✓ Generated graph n=30, m=147, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_30_147_POWLAW_7871178979383552919.txt (Time: 0.01s)
✓ Generated graph n=30, m=147, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_30_147_POWLAW_3881801951614183357.txt (Time: 0.01s)
✓ Generated graph n=30, m=147, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_30_147_POWLAW_6938562734920028532.txt (Time: 0.00s)
✓ Generated graph n=40, m=212, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_40_212_POWLAW_7871178979383552919.txt (Time: 0.00s)
