M,Time (s),Memory (KB),Passes
100,0.0,7256.0,1.0
200,0.0,8240.0,1.0
300,0.0,8232.0,1.0
400,0.0,7260.0,1.0
500,0.0,7220.0,1.0
600,0.0,7220.0,1.0
700,0.0,7224.0,1.0
800,0.0,8272.0,1.0
900,0.0,8232.0,1.0
1000,0.0,9308.0,1.0
2000,0.0,9256.0,1.0
3000,0.0,3124.0,2.0
4000,0.0,3124.0,2.0
5000,0.01,3136.0,2.0
6000,0.01,3152.0,2.01
7000,0.01,4188.0,2.05
8000,0.01,3136.0,2.02
9000,0.01,4188.0,2.05
10000,0.01,4164.0,2.07
11000,0.01,4172.0,2.03
12000,0.01,4144.0,2.06
13000,0.01,4180.0,2.04
14000,0.01,3136.0,2.05
15000,0.01,3132.0,2.05
16000,0.01,4152.0,2.01
17000,0.02,4152.0,2.03
18000,0.02,4152.0,2.08
19000,0.02,3164.0,2.07
20000,0.02,4180.0,2.05
30000,0.03,3108.0,2.2
40000,0.04,3108.0,2.49
50000,0.05,4164.0,2.68
60000,0.06,4144.0,2.71
70000,0.07,3108.0,2.68
80000,0.08,4172.0,2.63
90000,0.09,4176.0,2.58
100000,0.09,3144.0,2.43
200000,0.17,3108.0,2.12
300000,0.25,4152.0,2.04
400000,0.32,3144.0,2.01
