M,Time (s),Memory (KB),Passes
100,0.0,7248.0,1.0
200,0.0,8284.0,1.0
300,0.0,8276.0,1.0
400,0.0,7292.0,1.0
500,0.0,8252.0,1.0
600,0.0,7248.0,1.0
700,0.0,7220.0,1.0
800,0.0,7216.0,1.0
900,0.0,8244.0,1.0
1000,0.0,8264.0,1.0
2000,0.0,9288.0,1.0
3000,0.0,9300.0,1.0
4000,0.0,9308.0,1.0
5000,0.0,9300.0,1.0
6000,0.01,4156.0,2.22
7000,0.01,4216.0,2.3
8000,0.01,3188.0,2.38
9000,0.01,4132.0,2.6
10000,0.01,5212.0,2.99
11000,0.01,5172.0,3.22
12000,0.01,5160.0,3.29
13000,0.01,4148.0,3.35
14000,0.02,5196.0,3.37
15000,0.02,4204.0,3.38
16000,0.02,4156.0,3.44
17000,0.02,4212.0,3.75
18000,0.02,4216.0,4.06
19000,0.02,4136.0,4.19
20000,0.03,4132.0,4.28
30000,0.04,5172.0,5.39
40000,0.09,5196.0,6.89
50000,0.11,5184.0,8.2
60000,0.15,4208.0,9.17
70000,0.18,4160.0,9.85
80000,0.21,4168.0,10.38
90000,0.25,5176.0,10.83
100000,0.28,4164.0,11.1
200000,0.63,4132.0,12.6
300000,1.0,3180.0,13.44
400000,1.39,4132.0,14.01
