M,Time (s),Memory (KB),Passes
100,0.0,6268.0,1.0
200,0.0,8272.0,1.0
300,0.0,8248.0,1.0
400,0.0,8232.0,1.0
500,0.0,8284.0,1.0
600,0.0,8252.0,1.0
700,0.0,8248.0,1.0
800,0.0,8244.0,1.0
900,0.0,7244.0,1.0
1000,0.0,8268.0,1.0
2000,0.0,9304.0,1.0
3000,0.01,4188.0,2.59
4000,0.01,4172.0,3.19
5000,0.01,4196.0,3.42
6000,0.01,4160.0,3.54
7000,0.01,3128.0,3.77
8000,0.01,3128.0,4.06
9000,0.01,4172.0,4.42
10000,0.02,4156.0,4.61
11000,0.02,4152.0,4.74
12000,0.02,4156.0,4.95
13000,0.02,4160.0,5.21
14000,0.02,4136.0,5.46
15000,0.03,4192.0,5.67
16000,0.03,3224.0,5.79
17000,0.03,4192.0,5.9
18000,0.03,4180.0,6.18
19000,0.04,4188.0,6.45
20000,0.04,3140.0,6.61
30000,0.07,3128.0,8.76
40000,0.12,3108.0,11.09
50000,0.17,3144.0,13.18
60000,0.23,3108.0,14.8
70000,0.28,3136.0,15.89
80000,0.35,3156.0,16.91
90000,0.4,3108.0,17.53
100000,0.46,4176.0,18.08
200000,1.02,4164.0,20.64
300000,1.6,3108.0,21.77
400000,2.23,3108.0,22.65
