K,Time (s),Memory (KB),Passes
1,0.04,4172.0,3.4
2,0.04,3108.0,3.4
3,0.04,3188.0,3.4
4,0.04,4172.0,3.4
5,0.04,4180.0,3.4
6,0.04,3108.0,3.4
7,0.04,3132.0,3.4
8,0.04,4184.0,3.4
9,0.04,3136.0,3.4
10,0.04,3124.0,3.4
12,0.04,3144.0,3.4
14,0.04,3124.0,3.39
16,0.04,3108.0,3.39
18,0.04,3172.0,3.39
20,0.04,4188.0,3.39
25,0.04,4192.0,3.38
30,0.04,4132.0,3.37
35,0.04,3140.0,3.36
40,0.04,5160.0,3.35
50,0.04,4196.0,3.34
60,0.04,4168.0,3.33
70,0.04,4212.0,3.29
80,0.03,4148.0,3.17
90,0.03,4180.0,3.08
100,0.03,4148.0,3.04
150,0.03,4132.0,2.76
200,0.03,4184.0,2.26
250,0.03,4196.0,2.21
300,0.02,5196.0,2.02
350,0.02,4132.0,2.0
400,0.02,4132.0,2.0
450,0.02,5180.0,2.0
500,0.02,5176.0,2.0
550,0.02,4132.0,2.0
600,0.02,4156.0,2.0
650,0.02,4132.0,2.0
700,0.02,4128.0,2.0
750,0.02,4216.0,2.0
800,0.02,4156.0,2.0
850,0.02,4132.0,2.0
900,0.02,4204.0,2.0
950,0.02,4136.0,2.0
1000,0.02,4224.0,2.0
